"sample_number","unknown_ratios","unknown_counts","total_counts","iteration"
30,0.87893839993184,103161,117370,9
30,0.874223574527843,97114,111086,10
30,0.880040364966573,104650,118915,11
30,0.875692910611308,101893,116357,12
30,0.874619349325964,96216,110009,13
30,0.879965106628047,103901,118074,14
30,0.869339714878996,93361,107393,15
30,0.871495220859063,95827,109957,16
30,0.876788417950027,97868,111621,17
30,0.877550665239599,100849,114921,18
30,0.874159591917663,96995,110958,19
30,0.876308687664273,99688,113759,20
30,0.880165219447917,104201,118388,21
30,0.880723471226688,108004,122631,22
30,0.883031063090874,109842,124392,23
30,0.860498775328435,85019,98802,24
30,0.885526380048511,108794,122858,25
30,0.87670518801244,99229,113184,26
30,0.88187093429656,105470,119598,27
30,0.886370423929958,112780,127238,28
30,0.868971206846533,95851,110304,29
30,0.877295142167663,100338,114372,30
30,0.881588471408831,107180,121576,31
30,0.868301996054941,95963,110518,32
30,0.879417256808653,99842,113532,33
30,0.873986068254467,94602,108242,34
30,0.878255041842665,99595,113401,35
30,0.881199680918429,107153,121599,36
30,0.878599814429019,100373,114242,37
30,0.875640562973656,97056,110840,38
30,0.878125,103408,117760,39
30,0.880329580869837,107056,121609,40
30,0.869660934204103,94413,108563,41
30,0.881940038716184,108431,122946,42
30,0.882180710897699,105455,119539,43
30,0.877255966539628,99208,113089,44
30,0.868338946826071,91008,104807,45
30,0.873672328435947,98296,112509,46
30,0.875564077410149,98177,112130,47
30,0.882509203309092,107637,121967,48
30,0.877633190840479,102447,116731,49
30,0.879219320886267,104919,119332,50
30,0.874174647288949,98766,112982,51
30,0.877593807117514,97950,111612,52
30,0.88643888638448,114051,128662,53
30,0.881624001304419,108140,122660,54
30,0.879507623914929,104460,118771,55
30,0.875173896547363,96880,110698,56
30,0.886577207774215,111988,126315,57
30,0.875918476803433,97989,111870,58
30,0.881064029329014,103340,117290,59
30,0.875186992449067,98287,112304,60
30,0.872046070721249,90705,104014,61
30,0.881251512114195,101989,115732,62
30,0.880790772522543,97973,111233,63
30,0.881191627224177,104445,118527,64
30,0.879273504273504,102875,117000,65
30,0.884423446959623,113070,127846,66
30,0.883005963267632,103800,117553,67
30,0.8790391789411,100381,114194,68
30,0.876422580308356,100729,114932,69
30,0.875901164048639,101206,115545,70
30,0.873447308077097,98655,112949,71
30,0.884034302999099,109889,124304,72
30,0.876572588555394,102772,117243,73
30,0.87077404527896,89041,102255,74
30,0.882640566838634,108127,122504,75
30,0.871711555809201,94701,108638,76
30,0.885232744783307,104785,118370,77
30,0.87706013363029,102388,116740,78
30,0.879270803689506,105050,119474,79
30,0.877809552041012,100683,114698,80
30,0.875445087106804,100804,115146,81
30,0.876771724954006,101510,115777,82
30,0.876892150661549,101203,115411,83
30,0.877092507202118,101384,115591,84
30,0.880839021142001,105824,120140,85
30,0.87980245728053,102614,116633,86
30,0.87603422173714,99528,113612,87
30,0.883265670672296,108783,123160,88
30,0.880866832321798,101741,115501,89
30,0.881990668232837,108125,122592,90
30,0.881096297319702,102038,115808,91
30,0.880558920228413,101775,115580,92
30,0.877087929404349,102971,117401,93
30,0.876892783132841,101980,116297,94
30,0.878574500560789,104184,118583,95
30,0.878774563222835,99994,113788,96
30,0.877399412971765,101337,115497,97
30,0.877299241506551,94150,107318,98
30,0.881673012830842,103966,117919,99
30,0.87996206701494,105782,120212,100
35,0.871008046845133,93413,107247,1
35,0.882314965391562,107968,122369,2
35,0.884593569003395,110729,125175,3
35,0.875666663757059,100319,114563,4
35,0.875717719029932,100204,114425,5
