EC,all_ref_clu,know_ref_clu,new_ref_clu,new_clu_pro,all_clu_member,know_clu_member,new_clu_member,new_member_pro,sample_number,EC_1
7.2.2.1,13,0,13,100,4918,0,4918,100,334,7
7.2.2.10,37,5,32,86.48648649,3190,1018,2172,68.08777429,285,7
7.2.2.11,43,0,43,100,14485,0,14485,100,339,7
7.2.2.12,6,0,6,100,2344,0,2344,100,283,7
7.2.2.13,17,2,15,88.23529412,1445,126,1319,91.28027682,209,7
7.2.2.14,1,0,1,100,17,0,17,100,14,7
7.2.2.16,1,0,1,100,37,0,37,100,26,7
7.2.2.20,22,9,13,59.09090909,12467,10407,2060,16.52362236,345,7
7.2.2.21,23,0,23,100,5839,0,5839,100,311,7
7.2.2.4,20,0,20,100,3069,0,3069,100,303,7
7.2.2.5,4,0,4,100,487,0,487,100,172,7
7.2.2.6,3,3,0,0,653,653,0,0,163,7
7.2.2.7,28,2,26,92.85714286,20067,5165,14902,74.2612249,341,7
7.2.2.8,104,8,96,92.30769231,22592,1927,20665,91.47043201,343,7
7.2.2.9,67,10,57,85.07462687,17105,3458,13647,79.78368898,339,7
7.2.4.1,3,0,3,100,2036,0,2036,100,287,7
7.2.4.2,9,1,8,88.88888889,1041,949,92,8.8376561,262,7
7.2.4.3,28,0,28,100,4256,0,4256,100,317,7
7.2.4.5,6,0,6,100,7216,0,7216,100,318,7
7.3.2.1,49,44,5,10.20408163,16475,15971,504,3.059180577,341,7
7.3.2.2,11,9,2,18.18181818,8936,7835,1101,12.32094897,327,7
7.3.2.3,2,1,1,50,3271,1687,1584,48.42555793,328,7
7.3.2.4,1,0,1,100,99,0,99,100,72,7
7.3.2.5,11,3,8,72.72727273,9184,4652,4532,49.3466899,327,7
7.3.2.6,88,0,88,100,11991,0,11991,100,342,7
7.3.2.7,29,2,27,93.10344828,3660,543,3117,85.16393443,293,7
7.4.2.1,4,1,3,75,218,41,177,81.19266055,98,7
7.4.2.10,17,0,17,100,16503,0,16503,100,337,7
7.4.2.11,2,1,1,50,5659,5589,70,1.236967662,325,7
7.4.2.12,1,1,0,0,294,294,0,0,163,7
7.4.2.4,25,1,24,96,3856,821,3035,78.70850622,305,7
7.4.2.5,5,0,5,100,1964,0,1964,100,267,7
7.4.2.8,100,83,17,17,61290,60156,1134,1.850220264,346,7
7.4.2.9,36,4,32,88.88888889,19036,3265,15771,82.84828746,327,7
7.5.2.11,1,0,1,100,106,0,106,100,65,7
7.5.2.12,6,1,5,83.33333333,900,363,537,59.66666667,236,7
7.5.2.13,4,0,4,100,2193,0,2193,100,301,7
7.5.2.3,72,0,72,100,16263,0,16263,100,332,7
7.5.2.4,3,0,3,100,987,0,987,100,230,7
7.5.2.5,504,0,504,100,43909,0,43909,100,317,7
7.5.2.6,32,11,21,65.625,27281,14498,12783,46.85678677,329,7
7.5.2.7,16,4,12,75,4937,1695,3242,65.66740936,309,7
7.5.2.9,1,0,1,100,254,0,254,100,137,7
7.6.2.1,8,1,7,87.5,245,38,207,84.48979592,70,7
7.6.2.10,2,2,0,0,3009,3009,0,0,330,7
7.6.2.11,2,1,1,50,1639,1393,246,15.00915192,287,7
7.6.2.12,1,0,1,100,136,0,136,100,76,7
7.6.2.14,3,0,3,100,1234,0,1234,100,271,7
7.6.2.15,11,1,10,90.90909091,2085,390,1695,81.29496403,295,7
7.6.2.2,56,0,56,100,19250,0,19250,100,335,7
7.6.2.4,9,0,9,100,1671,0,1671,100,272,7
7.6.2.5,33,6,27,81.81818182,11911,8582,3329,27.94895475,325,7
7.6.2.6,5,0,5,100,208,0,208,100,75,7
7.6.2.7,1,1,0,0,1083,1083,0,0,254,7
7.6.2.8,30,3,27,90,5904,552,5352,90.6504065,322,7
7.6.2.9,4,2,2,50,26166,23360,2806,10.7238401,348,7
