EC,all_ref_clu,know_ref_clu,new_ref_clu,new_clu_pro,all_clu_member,know_clu_member,new_clu_member,new_member_pro,sample_number,EC_1
1.1.99.32,12,0,12,100,7656,0,7656,100,333,1
1.1.99.35,2,1,1,50,1648,1483,165,10.01213592,274,1
1.1.99.36,4,0,4,100,874,0,874,100,231,1
1.1.99.42,3,1,2,66.66666667,1991,327,1664,83.57609242,300,1
1.1.99.6,5,0,5,100,1535,0,1535,100,274,1
1.10.3.1,1,0,1,100,13,0,13,100,12,1
1.10.3.16,9,0,9,100,1287,0,1287,100,272,1
1.10.3.2,22,0,22,100,1029,0,1029,100,260,1
1.10.3.3,3,0,3,100,187,0,187,100,98,1
1.10.3.9,65,63,2,3.076923077,12284,10653,1631,13.27743406,241,1
1.11.1.1,3,0,3,100,2982,0,2982,100,286,1
1.11.1.10,3,0,3,100,541,0,541,100,188,1
1.11.1.11,27,2,25,92.59259259,847,272,575,67.8866588,219,1
1.11.1.12,1,0,1,100,87,0,87,100,47,1
1.11.1.13,1,0,1,100,146,0,146,100,92,1
1.11.1.18,2,0,2,100,49,0,49,100,41,1
1.11.1.19,4,0,4,100,346,0,346,100,133,1
1.11.1.20,5,0,5,100,103,0,103,100,47,1
1.11.1.21,50,44,6,12,34450,34310,140,0.406386067,349,1
1.11.1.22,2,0,2,100,158,0,158,100,85,1
1.11.1.23,8,0,8,100,416,0,416,100,160,1
1.11.1.24,220,3,217,98.63636364,31367,2056,29311,93.44534064,348,1
1.11.1.25,27,0,27,100,11073,0,11073,100,334,1
1.11.1.26,3,1,2,66.66666667,2555,2534,21,0.821917808,307,1
1.11.1.27,24,0,24,100,3452,0,3452,100,309,1
1.11.1.28,2,0,2,100,55,0,55,100,35,1
1.11.1.29,1,0,1,100,133,0,133,100,56,1
1.11.1.5,5,0,5,100,1294,0,1294,100,277,1
1.11.1.6,12,12,0,0,3396,3396,0,0,276,1
1.11.1.7,382,0,382,100,9676,0,9676,100,346,1
1.11.1.8,3,0,3,100,81,0,81,100,55,1
1.11.1.9,50,0,50,100,14538,0,14538,100,327,1
1.11.2.1,1,0,1,100,10,0,10,100,6,1
1.11.2.4,1,0,1,100,322,0,322,100,148,1
1.11.2.5,3,0,3,100,580,0,580,100,72,1
1.12.1.2,93,1,92,98.92473118,13164,104,13060,99.20996658,343,1
1.12.1.3,11,0,11,100,5484,0,5484,100,316,1
1.12.2.1,37,0,37,100,394,0,394,100,180,1
1.12.7.2,5,0,5,100,784,0,784,100,190,1
1.12.98.3,703,0,703,100,206159,0,206159,100,354,1
1.12.99.6,5,3,2,40,1218,1143,75,6.157635468,277,1
1.13.11.1,3,2,1,33.33333333,630,600,30,4.761904762,241,1
1.13.11.11,14,8,6,42.85714286,11826,8995,2831,23.93877896,315,1
1.13.11.12,2,0,2,100,183,0,183,100,119,1
1.13.11.16,1,1,0,0,207,207,0,0,109,1
1.13.11.18,6,0,6,100,1371,0,1371,100,261,1
1.13.11.19,7,0,7,100,971,0,971,100,245,1
1.13.11.2,3,1,2,66.66666667,3196,658,2538,79.41176471,290,1
1.13.11.20,2,0,2,100,97,0,97,100,68,1
1.13.11.24,105,6,99,94.28571429,27253,7623,19630,72.02876748,341,1
1.13.11.27,18,5,13,72.22222222,9790,4925,4865,49.69356486,316,1
1.13.11.29,4,0,4,100,725,0,725,100,224,1
1.13.11.3,8,2,6,75,6241,3740,2501,40.07370614,307,1
1.13.11.39,5,0,5,100,2471,0,2471,100,223,1
1.13.11.4,1,1,0,0,3038,3038,0,0,283,1
1.13.11.45,1,0,1,100,16,0,16,100,15,1
1.13.11.46,2,0,2,100,880,0,880,100,251,1
1.13.11.48,1,0,1,100,24,0,24,100,13,1
1.13.11.49,2,0,2,100,164,0,164,100,86,1
1.13.11.5,9,5,4,44.44444444,5434,1947,3487,64.17004049,313,1
1.13.11.50,4,0,4,100,57,0,57,100,42,1
1.13.11.52,3,0,3,100,1607,0,1607,100,269,1
1.13.11.53,1,0,1,100,577,0,577,100,191,1
1.13.11.54,2,0,2,100,256,0,256,100,144,1
1.13.11.58,1,0,1,100,31,0,31,100,28,1
1.13.11.6,8,1,7,87.5,5114,1275,3839,75.06843958,303,1
1.13.11.61,3,0,3,100,62,0,62,100,40,1
1.13.11.63,26,2,24,92.30769231,10685,568,10117,94.68413664,234,1
1.13.11.66,2,0,2,100,99,0,99,100,65,1
1.13.11.73,12,1,11,91.66666667,4329,2719,1610,37.19103719,291,1
1.13.11.74,4,1,3,75,3111,1928,1183,38.02635808,273,1
1.13.11.75,1,0,1,100,1463,0,1463,100,120,1
1.13.11.76,2,0,2,100,952,0,952,100,248,1
1.13.11.78,3,0,3,100,650,0,650,100,197,1
1.13.11.79,3,0,3,100,2444,0,2444,100,295,1
1.13.11.8,4,1,3,75,1683,1504,179,10.63576946,270,1
1.13.11.80,1,0,1,100,357,0,357,100,153,1
1.13.12.16,9,0,9,100,2734,0,2734,100,301,1
1.13.12.19,1,0,1,100,11,0,11,100,11,1
1.13.12.20,1,0,1,100,51,0,51,100,45,1
1.13.12.21,1,0,1,100,39,0,39,100,28,1
1.13.12.4,1,0,1,100,7,0,7,100,7,1
1.13.12.5,5,0,5,100,565,0,565,100,199,1
1.13.12.6,1,0,1,100,11,0,11,100,7,1
1.13.99.1,3,0,3,100,1392,0,1392,100,260,1
1.14.11.1,1,0,1,100,17,0,17,100,16,1
1.14.11.18,8,0,8,100,1934,0,1934,100,285,1
1.14.11.2,48,0,48,100,3994,0,3994,100,301,1
1.14.11.27,11,0,11,100,387,0,387,100,143,1
1.14.11.28,1,0,1,100,262,0,262,100,84,1
1.14.11.29,12,0,12,100,1377,0,1377,100,237,1
1.14.11.33,23,1,22,95.65217391,4669,1160,3509,75.1552795,304,1
1.14.11.35,2,0,2,100,91,0,91,100,64,1
1.14.11.36,8,0,8,100,2744,0,2744,100,267,1
1.14.11.37,1,0,1,100,1001,0,1001,100,164,1
1.14.11.38,3,0,3,100,232,0,232,100,68,1
1.14.11.4,2,0,2,100,140,0,140,100,73,1
1.14.11.44,16,0,16,100,8476,0,8476,100,318,1
1.14.11.45,3,0,3,100,1532,0,1532,100,221,1
1.14.11.47,2,0,2,100,468,0,468,100,158,1
1.14.11.51,4,0,4,100,83,0,83,100,59,1
1.14.11.54,4,0,4,100,1129,0,1129,100,243,1
1.14.11.56,8,0,8,100,5040,0,5040,100,314,1
1.14.11.57,7,0,7,100,5242,0,5242,100,311,1
1.14.11.6,18,0,18,100,488,0,488,100,98,1
1.14.11.63,1,0,1,100,29,0,29,100,23,1
1.14.11.66,2,0,2,100,116,0,116,100,43,1
1.14.11.7,1,0,1,100,42,0,42,100,17,1
1.14.11.74,4,0,4,100,1237,0,1237,100,211,1
1.14.11.75,4,0,4,100,108,0,108,100,57,1
1.14.11.76,1,0,1,100,8,0,8,100,8,1
1.14.11.9,1,0,1,100,22,0,22,100,17,1
1.14.11.n2,26,0,26,100,1335,0,1335,100,200,1
1.14.12.13,1,0,1,100,1649,0,1649,100,234,1
1.14.12.14,7,0,7,100,2113,0,2113,100,281,1
1.14.12.15,2,0,2,100,120,0,120,100,72,1
1.14.12.17,5,2,3,60,987,802,185,18.74366768,223,1
1.14.12.22,2,0,2,100,1545,0,1545,100,191,1
1.14.12.7,5,1,4,80,4062,1546,2516,61.93993107,284,1
1.14.13.1,1,1,0,0,147,147,0,0,108,1
1.14.13.101,4,0,4,100,464,0,464,100,170,1
1.14.13.107,3,0,3,100,546,0,546,100,158,1
1.14.13.111,12,0,12,100,1364,0,1364,100,251,1
1.14.13.113,1,0,1,100,34,0,34,100,29,1
1.14.13.127,3,0,3,100,624,0,624,100,196,1
1.14.13.128,66,0,66,100,3718,0,3718,100,302,1
1.14.13.131,1,0,1,100,2468,0,2468,100,258,1
1.14.13.149,2,1,1,50,3646,3595,51,1.398793198,303,1
1.14.13.163,15,1,14,93.33333333,1256,139,1117,88.93312102,258,1
1.14.13.166,3,0,3,100,2058,0,2058,100,295,1
1.14.13.167,1,0,1,100,148,0,148,100,99,1
1.14.13.168,1,0,1,100,53,0,53,100,50,1
1.14.13.178,1,0,1,100,141,0,141,100,95,1
1.14.13.179,3,0,3,100,1365,0,1365,100,205,1
1.14.13.182,5,0,5,100,4208,0,4208,100,295,1
1.14.13.196,3,0,3,100,138,0,138,100,92,1
1.14.13.208,2,2,0,0,3500,3500,0,0,300,1
1.14.13.217,1,0,1,100,875,0,875,100,222,1
1.14.13.220,1,0,1,100,165,0,165,100,114,1
1.14.13.222,2,0,2,100,314,0,314,100,159,1
1.14.13.227,3,2,1,33.33333333,337,180,157,46.58753709,167,1
1.14.13.232,1,0,1,100,111,0,111,100,93,1
1.14.13.233,1,0,1,100,18,0,18,100,17,1
1.14.13.235,1,0,1,100,464,0,464,100,159,1
1.14.13.236,3,1,2,66.66666667,652,582,70,10.73619632,157,1
1.14.13.239,3,0,3,100,1315,0,1315,100,241,1
1.14.13.24,1,0,1,100,570,0,570,100,139,1
1.14.13.240,72,0,72,100,31805,0,31805,100,335,1
1.14.13.244,19,3,16,84.21052632,2387,527,1860,77.92207792,289,1
1.14.13.25,168,0,168,100,9251,0,9251,100,323,1
1.14.13.29,10,0,10,100,9022,0,9022,100,333,1
1.14.13.33,1,0,1,100,2769,0,2769,100,298,1
1.14.13.39,60,0,60,100,1816,0,1816,100,269,1
1.14.13.59,3,2,1,33.33333333,49,37,12,24.48979592,42,1
1.14.13.69,2,0,2,100,88,0,88,100,82,1
1.14.13.7,2,0,2,100,384,0,384,100,143,1
1.14.13.8,1,0,1,100,57,0,57,100,49,1
1.14.13.81,7,6,1,14.28571429,2874,2581,293,10.19485038,243,1
1.14.13.83,3,0,3,100,303,0,303,100,155,1
1.14.13.84,2,0,2,100,835,0,835,100,231,1
1.14.13.9,8,3,5,62.5,6147,4141,2006,32.63380511,297,1
1.14.14.1,3,0,3,100,93,0,93,100,46,1
1.14.14.10,3,0,3,100,1141,0,1141,100,190,1
1.14.14.108,2,0,2,100,7695,0,7695,100,292,1
1.14.14.11,1,0,1,100,25,0,25,100,19,1
1.14.14.119,1,0,1,100,13,0,13,100,13,1
1.14.14.12,1,0,1,100,42,0,42,100,41,1
1.14.14.13,3,0,3,100,37,0,37,100,35,1
1.14.14.15,3,0,3,100,2537,0,2537,100,260,1
1.14.14.155,2,1,1,50,228,78,150,65.78947368,91,1
1.14.14.158,1,0,1,100,166,0,166,100,111,1
1.14.14.17,1,0,1,100,33,0,33,100,21,1
1.14.14.18,9,0,9,100,2695,0,2695,100,218,1
1.14.14.27,6,0,6,100,1530,0,1530,100,252,1
1.14.14.3,8,1,7,87.5,7431,47,7384,99.36751447,299,1
1.14.14.30,1,0,1,100,11,0,11,100,8,1
1.14.14.46,1,0,1,100,26,0,26,100,21,1
1.14.14.47,1,0,1,100,92,0,92,100,66,1
1.14.14.5,1,0,1,100,1097,0,1097,100,207,1
1.14.14.52,4,0,4,100,354,0,354,100,172,1
1.14.14.58,1,0,1,100,1,0,1,100,1,1
1.14.14.80,2,0,2,100,388,0,388,100,172,1
1.14.15.24,2,0,2,100,209,0,209,100,117,1
1.14.15.28,1,0,1,100,69,0,69,100,54,1
1.14.15.3,1,0,1,100,76,0,76,100,59,1
1.14.15.30,1,1,0,0,663,663,0,0,223,1
1.14.15.7,1,0,1,100,1,0,1,100,1,1
1.14.15.9,4,0,4,100,643,0,643,100,224,1
1.14.16.1,10,2,8,80,1444,123,1321,91.48199446,267,1
1.14.16.2,3,0,3,100,511,0,511,100,187,1
1.14.16.5,1,0,1,100,421,0,421,100,173,1
1.14.16.7,2,0,2,100,1912,0,1912,100,291,1
1.14.17.3,1,0,1,100,38,0,38,100,29,1
1.14.18.1,13,0,13,100,236,0,236,100,130,1
1.14.18.12,2,0,2,100,197,0,197,100,99,1
1.14.18.2,1,0,1,100,656,0,656,100,115,1
1.14.18.3,1,0,1,100,17,0,17,100,16,1
1.14.18.6,1,0,1,100,139,0,139,100,83,1
1.14.18.9,1,0,1,100,41,0,41,100,33,1
1.14.19.10,2,0,2,100,1380,0,1380,100,216,1
1.14.19.11,1,0,1,100,990,0,990,100,217,1
1.14.19.12,1,0,1,100,23,0,23,100,21,1
1.14.19.19,1,0,1,100,41,0,41,100,33,1
1.14.19.20,1,0,1,100,91,0,91,100,48,1
1.14.19.30,1,0,1,100,26,0,26,100,23,1
1.14.19.31,3,0,3,100,386,0,386,100,118,1
1.14.19.38,1,0,1,100,313,0,313,100,148,1
1.14.19.4,1,0,1,100,51,0,51,100,38,1
1.14.19.44,1,0,1,100,53,0,53,100,37,1
1.14.19.5,1,0,1,100,173,0,173,100,105,1
1.14.19.56,2,0,2,100,487,0,487,100,179,1
1.14.19.61,3,0,3,100,3205,0,3205,100,255,1
1.14.19.9,7,0,7,100,4165,0,4165,100,284,1
1.14.20.1,1,0,1,100,63,0,63,100,32,1
1.14.99.29,5,1,4,80,557,403,154,27.6481149,153,1
1.14.99.39,3,1,2,66.66666667,408,62,346,84.80392157,160,1
1.14.99.44,1,0,1,100,976,0,976,100,215,1
1.14.99.46,1,1,0,0,529,529,0,0,190,1
1.14.99.48,2,0,2,100,33,0,33,100,27,1
1.14.99.50,3,0,3,100,3033,0,3033,100,294,1
1.14.99.54,1,0,1,100,56,0,56,100,41,1
1.14.99.58,1,0,1,100,118,0,118,100,75,1
1.14.99.60,19,2,17,89.47368421,13950,5409,8541,61.22580645,335,1
1.14.99.63,4,1,3,75,1093,62,1031,94.32753888,259,1
1.14.99.65,1,0,1,100,81,0,81,100,61,1
1.14.99.67,1,0,1,100,55,0,55,100,55,1
1.14.99.69,11,1,10,90.90909091,5465,3324,2141,39.17657823,333,1
1.15.1.1,119,7,112,94.11764706,20110,7255,12855,63.92342118,342,1
1.16.1.1,2,2,0,0,1818,1818,0,0,281,1
1.16.1.7,27,0,27,100,1002,0,1002,100,210,1
1.16.1.9,1,0,1,100,2,0,2,100,2,1
1.16.3.1,41,1,40,97.56097561,12217,5063,7154,58.5577474,341,1
1.16.3.2,4,0,4,100,867,0,867,100,245,1
1.17.1.4,33,0,33,100,9501,0,9501,100,320,1
1.17.1.5,2,0,2,100,714,0,714,100,204,1
1.17.1.8,37,27,10,27.02702703,17745,15637,2108,11.87940265,343,1
1.17.1.9,4,1,3,75,5921,5086,835,14.10234758,336,1
1.17.4.1,273,57,216,79.12087912,106855,34494,72361,67.71887137,352,1
1.17.4.2,102,0,102,100,43955,0,43955,100,354,1
1.17.4.4,2,0,2,100,56,0,56,100,47,1
1.17.5.2,17,0,17,100,7674,0,7674,100,307,1
1.17.5.3,1,0,1,100,209,0,209,100,121,1
1.17.7.1,2,2,0,0,1255,1255,0,0,205,1
1.17.7.3,19,15,4,21.05263158,28372,22544,5828,20.54137882,343,1
1.17.7.4,56,35,21,37.5,35121,32886,2235,6.363714017,349,1
1.17.8.1,4,0,4,100,867,0,867,100,192,1
1.17.98.2,1,0,1,100,38,0,38,100,24,1
1.17.99.6,30,16,14,46.66666667,26542,24226,2316,8.725793083,340,1
1.17.99.9,146,24,122,83.56164384,42289,19256,23033,54.4657003,350,1
1.18.1.1,20,5,15,75,4586,1331,3255,70.97688618,319,1
1.18.1.2,166,24,142,85.54216867,35663,20114,15549,43.59980933,353,1
1.18.1.3,48,3,45,93.75,9240,593,8647,93.58225108,329,1
1.18.1.5,2,0,2,100,454,0,454,100,161,1
1.18.1.6,9,0,9,100,2697,0,2697,100,300,1
1.18.1.7,1,0,1,100,17,0,17,100,16,1
1.18.6.1,21,6,15,71.42857143,2742,2177,565,20.60539752,254,1
1.19.1.1,5,0,5,100,5459,0,5459,100,309,1
1.2.1.100,5,0,5,100,580,0,580,100,191,1
1.2.1.103,3,0,3,100,1454,0,1454,100,285,1
1.2.1.106,1,0,1,100,243,0,243,100,127,1
1.2.1.11,32,8,24,75,29881,18475,11406,38.17141327,351,1
1.2.1.12,16,11,5,31.25,24868,24749,119,0.478526621,344,1
1.2.1.13,18,4,14,77.77777778,5457,499,4958,90.85578156,317,1
1.2.1.16,16,0,16,100,5472,0,5472,100,337,1
1.2.1.18,2,0,2,100,74,0,74,100,46,1
1.2.1.19,1,0,1,100,1277,0,1277,100,268,1
1.2.1.22,7,0,7,100,1615,0,1615,100,260,1
1.2.1.24,1,0,1,100,1882,0,1882,100,291,1
1.2.1.26,19,1,18,94.73684211,13003,2423,10580,81.36583865,333,1
1.2.1.27,8,2,6,75,1159,688,471,40.63848145,289,1
1.2.1.28,16,0,16,100,1391,0,1391,100,269,1
1.2.1.3,133,11,122,91.72932331,14199,694,13505,95.11233185,343,1
1.2.1.31,19,0,19,100,3942,0,3942,100,299,1
1.2.1.38,39,19,20,51.28205128,27860,19949,7911,28.39554917,340,1
1.2.1.39,2,0,2,100,142,0,142,100,102,1
1.2.1.4,103,0,103,100,26621,0,26621,100,348,1
1.2.1.41,27,16,11,40.74074074,24572,19620,4952,20.1530197,344,1
1.2.1.5,55,0,55,100,3420,0,3420,100,319,1
1.2.1.50,15,0,15,100,4232,0,4232,100,287,1
1.2.1.58,9,1,8,88.88888889,1395,73,1322,94.76702509,201,1
1.2.1.59,3,0,3,100,2481,0,2481,100,290,1
1.2.1.64,4,0,4,100,788,0,788,100,82,1
1.2.1.65,1,1,0,0,956,956,0,0,259,1
1.2.1.67,1,0,1,100,29,0,29,100,26,1
1.2.1.68,2,1,1,50,5443,3847,1596,29.32206504,315,1
1.2.1.7,4,0,4,100,710,0,710,100,230,1
1.2.1.70,53,25,28,52.83018868,22673,11784,10889,48.02628677,345,1
1.2.1.72,16,3,13,81.25,8895,2397,6498,73.05227656,337,1
1.2.1.76,2,0,2,100,35,0,35,100,31,1
1.2.1.78,2,0,2,100,11069,0,11069,100,321,1
1.2.1.79,3,0,3,100,3243,0,3243,100,292,1
1.2.1.8,4,1,3,75,10719,8925,1794,16.73663588,324,1
1.2.1.80,2,0,2,100,2140,0,2140,100,128,1
1.2.1.81,3,0,3,100,4382,0,4382,100,311,1
1.2.1.82,3,0,3,100,820,0,820,100,219,1
1.2.1.84,4,0,4,100,257,0,257,100,116,1
1.2.1.86,4,0,4,100,1876,0,1876,100,295,1
1.2.1.88,46,0,46,100,21259,0,21259,100,334,1
1.2.1.9,1,0,1,100,759,0,759,100,179,1
1.2.1.96,1,0,1,100,451,0,451,100,213,1
1.2.1.98,2,0,2,100,65,0,65,100,54,1
1.2.1.n2,2,0,2,100,2159,0,2159,100,308,1
1.2.3.3,1,0,1,100,367,0,367,100,156,1
1.2.4.1,87,24,63,72.4137931,32755,17445,15310,46.74095558,342,1
1.2.4.2,109,38,71,65.13761468,40834,22652,18182,44.52661997,351,1
1.2.4.4,17,3,14,82.35294118,6815,3469,3346,49.09757887,316,1
1.2.5.1,3,1,2,66.66666667,5261,460,4801,91.25641513,303,1
1.2.5.2,4,0,4,100,2765,0,2765,100,300,1
1.2.5.3,3,0,3,100,1591,0,1591,100,269,1
1.2.7.1,3,1,2,66.66666667,346,211,135,39.01734104,138,1
1.2.7.10,4,0,4,100,2256,0,2256,100,207,1
1.2.7.11,2,0,2,100,604,0,604,100,170,1
1.2.7.12,8,0,8,100,1870,0,1870,100,272,1
1.2.7.3,12,2,10,83.33333333,15945,4822,11123,69.758545,326,1
1.2.7.4,1,0,1,100,10,0,10,100,3,1
1.2.7.5,2,0,2,100,1786,0,1786,100,252,1
1.2.7.7,3,0,3,100,261,0,261,100,138,1
1.2.7.8,1,0,1,100,1014,0,1014,100,256,1
1.2.99.10,8,0,8,100,5785,0,5785,100,313,1
1.2.99.6,8,2,6,75,13005,1238,11767,90.48058439,328,1
1.2.99.7,1,0,1,100,27,0,27,100,25,1
1.2.99.8,1,0,1,100,215,0,215,100,107,1
1.20.1.1,3,1,2,66.66666667,1639,297,1342,81.87919463,253,1
1.20.4.1,118,0,118,100,18983,0,18983,100,336,1
1.20.4.4,1,0,1,100,339,0,339,100,85,1
1.20.9.1,1,0,1,100,53,0,53,100,31,1
1.21.3.1,4,0,4,100,1392,0,1392,100,224,1
1.21.4.2,41,0,41,100,1760,0,1760,100,278,1
1.21.4.5,46,0,46,100,6103,0,6103,100,300,1
1.21.98.3,21,2,19,90.47619048,5603,751,4852,86.59646618,266,1
1.21.98.4,1,1,0,0,2327,2327,0,0,299,1
1.21.99.4,6,0,6,100,102,0,102,100,68,1
1.21.99.5,1,0,1,100,823,0,823,100,207,1
1.23.5.1,1,0,1,100,61,0,61,100,34,1
1.3.1.1,1,0,1,100,2361,0,2361,100,305,1
1.3.1.103,1,0,1,100,430,0,430,100,196,1
1.3.1.104,17,0,17,100,6461,0,6461,100,308,1
1.3.1.106,4,0,4,100,3710,0,3710,100,241,1
1.3.1.108,9,0,9,100,445,0,445,100,184,1
1.3.1.110,7,0,7,100,3689,0,3689,100,297,1
1.3.1.113,1,0,1,100,18,0,18,100,15,1
1.3.1.114,3,0,3,100,4229,0,4229,100,286,1
1.3.1.116,1,0,1,100,14,0,14,100,11,1
1.3.1.12,33,0,33,100,21173,0,21173,100,339,1
1.3.1.120,2,0,2,100,526,0,526,100,152,1
1.3.1.121,1,0,1,100,46,0,46,100,46,1
1.3.1.124,1,0,1,100,1338,0,1338,100,205,1
1.3.1.13,2,0,2,100,442,0,442,100,169,1
1.3.1.14,4,0,4,100,5547,0,5547,100,262,1
1.3.1.22,5,0,5,100,742,0,742,100,202,1
1.3.1.25,4,0,4,100,179,0,179,100,115,1
1.3.1.28,1,0,1,100,401,0,401,100,143,1
1.3.1.29,5,0,5,100,128,0,128,100,81,1
1.3.1.31,3,0,3,100,490,0,490,100,212,1
1.3.1.32,5,1,4,80,519,144,375,72.25433526,166,1
1.3.1.33,1,0,1,100,67,0,67,100,38,1
1.3.1.34,1,0,1,100,1683,0,1683,100,298,1
1.3.1.43,2,0,2,100,1257,0,1257,100,259,1
1.3.1.44,4,0,4,100,3033,0,3033,100,292,1
1.3.1.48,2,0,2,100,1912,0,1912,100,285,1
1.3.1.49,2,0,2,100,64,0,64,100,46,1
1.3.1.53,4,1,3,75,386,189,197,51.03626943,160,1
1.3.1.54,7,0,7,100,3126,0,3126,100,309,1
1.3.1.56,2,0,2,100,136,0,136,100,92,1
1.3.1.58,2,0,2,100,252,0,252,100,140,1
1.3.1.60,1,0,1,100,50,0,50,100,35,1
1.3.1.72,2,0,2,100,55,0,55,100,26,1
1.3.1.76,5,0,5,100,2070,0,2070,100,294,1
1.3.1.78,1,0,1,100,77,0,77,100,46,1
1.3.1.83,3,2,1,33.33333333,2522,951,1571,62.29183188,166,1
1.3.1.84,119,11,108,90.75630252,33993,15064,18929,55.68499397,346,1
1.3.1.85,1,1,0,0,2621,2621,0,0,303,1
1.3.1.86,1,0,1,100,25,0,25,100,19,1
1.3.1.88,1,0,1,100,68,0,68,100,39,1
1.3.1.89,5,0,5,100,424,0,424,100,145,1
1.3.1.9,11,7,4,36.36363636,8301,7271,1030,12.4081436,338,1
1.3.1.90,2,0,2,100,30,0,30,100,25,1
1.3.1.91,27,0,27,100,26157,0,26157,100,345,1
1.3.1.93,2,0,2,100,78,0,78,100,50,1
1.3.1.94,3,0,3,100,926,0,926,100,226,1
1.3.1.96,1,0,1,100,293,0,293,100,142,1
1.3.1.98,62,29,33,53.22580645,31758,25121,6637,20.8986712,344,1
1.3.1.n3,3,0,3,100,760,0,760,100,251,1
1.3.3.15,20,0,20,100,3158,0,3158,100,303,1
1.3.3.3,41,21,20,48.7804878,18912,13590,5322,28.14086294,332,1
1.3.3.4,3,0,3,100,617,0,617,100,208,1
1.3.3.5,16,0,16,100,1425,0,1425,100,265,1
1.3.3.6,10,0,10,100,362,0,362,100,140,1
1.3.4.1,1,0,1,100,152,0,152,100,86,1
1.3.5.1,44,27,17,38.63636364,48143,46909,1234,2.563197142,351,1
1.3.5.2,16,10,6,37.5,21039,12735,8304,39.46955654,340,1
1.3.5.3,5,0,5,100,541,0,541,100,246,1
1.3.5.4,33,0,33,100,26929,0,26929,100,347,1
1.3.5.5,1,1,0,0,2255,2255,0,0,94,1
1.3.5.6,1,0,1,100,755,0,755,100,120,1
1.3.7.11,4,0,4,100,279,0,279,100,117,1
1.3.7.12,196,0,196,100,6262,0,6262,100,325,1
1.3.7.15,5,4,1,20,2263,1202,1061,46.88466637,222,1
1.3.7.2,110,1,109,99.09090909,7691,1933,5758,74.86672734,331,1
1.3.7.3,2074,5,2069,99.75891996,90765,4410,86355,95.14129896,353,1
1.3.7.5,1165,4,1161,99.65665236,44125,1915,42210,95.66005666,351,1
1.3.7.6,20,0,20,100,575,0,575,100,172,1
1.3.7.7,20,17,3,15,5105,5060,45,0.881488737,264,1
1.3.7.8,5,0,5,100,81,0,81,100,22,1
1.3.8.1,20,0,20,100,10883,0,10883,100,323,1
1.3.8.11,3,0,3,100,326,0,326,100,154,1
1.3.8.12,1,0,1,100,244,0,244,100,152,1
1.3.8.16,1,0,1,100,40,0,40,100,29,1
1.3.8.17,1,0,1,100,2310,0,2310,100,274,1
1.3.8.3,4,0,4,100,1646,0,1646,100,278,1
1.3.8.4,2,1,1,50,1285,706,579,45.05836576,279,1
1.3.8.5,1,0,1,100,119,0,119,100,88,1
1.3.8.6,3,0,3,100,426,0,426,100,221,1
1.3.8.7,36,0,36,100,21269,0,21269,100,345,1
1.3.8.8,35,0,35,100,9279,0,9279,100,338,1
1.3.98.1,5,0,5,100,2901,0,2901,100,280,1
1.3.98.3,9,1,8,88.88888889,4371,3821,550,12.58293297,309,1
1.3.98.4,3,0,3,100,1621,0,1621,100,209,1
1.3.98.5,4,1,3,75,1882,279,1603,85.17534538,250,1
1.3.99.16,12,0,12,100,3094,0,3094,100,296,1
1.3.99.17,1,0,1,100,2,0,2,100,2,1
1.3.99.27,12,1,11,91.66666667,5311,1359,3952,74.41159857,284,1
1.3.99.38,2,1,1,50,600,403,197,32.83333333,209,1
1.3.99.39,1,0,1,100,161,0,161,100,86,1
1.3.99.4,2,2,0,0,1610,1610,0,0,252,1
1.4.1.1,18,3,15,83.33333333,10396,5254,5142,49.46133128,341,1
1.4.1.11,1,0,1,100,982,0,982,100,182,1
1.4.1.13,45,12,33,73.33333333,28881,16069,12812,44.36134483,350,1
1.4.1.18,1,0,1,100,71,0,71,100,58,1
1.4.1.2,23,1,22,95.65217391,1499,262,1237,82.52168112,287,1
1.4.1.20,4,0,4,100,1516,0,1516,100,291,1
1.4.1.21,5,3,2,40,4983,4602,381,7.645996388,305,1
1.4.1.24,5,4,1,20,1117,1093,24,2.148612355,241,1
1.4.1.3,13,1,12,92.30769231,5570,1410,4160,74.68581688,333,1
1.4.1.4,37,19,18,48.64864865,21782,6217,15565,71.45808466,333,1
1.4.3.10,1,0,1,100,43,0,43,100,35,1
1.4.3.16,27,11,16,59.25925926,18038,14033,4005,22.20312673,337,1
1.4.3.19,17,2,15,88.23529412,5125,1293,3832,74.77073171,323,1
1.4.3.2,1476,1,1475,99.93224932,38255,738,37517,98.07084041,349,1
1.4.3.20,3,0,3,100,50,0,50,100,38,1
1.4.3.21,23,3,20,86.95652174,4014,1872,2142,53.3632287,317,1
1.4.3.22,7,0,7,100,974,0,974,100,240,1
1.4.3.23,3,0,3,100,61,0,61,100,43,1
1.4.3.24,2,0,2,100,1541,0,1541,100,275,1
1.4.3.25,23,0,23,100,198,0,198,100,121,1
1.4.3.26,4,1,3,75,2294,382,1912,83.34786399,283,1
1.4.3.3,2,0,2,100,126,0,126,100,88,1
1.4.3.4,1,0,1,100,31,0,31,100,25,1
1.4.3.5,21,8,13,61.9047619,6781,5078,1703,25.11428993,322,1
1.4.4.2,169,136,33,19.52662722,81639,80167,1472,1.803059812,353,1
1.4.5.1,6,0,6,100,1405,0,1405,100,260,1
1.4.7.1,51,0,51,100,5220,0,5220,100,323,1
