,sample,Longitude.Degrees.East,Latitude.Degrees.North,Longhurst.Province,Ocean,Ocean.and.sea.regions,Temp,Salinity,Dissolved.oxygen,depth,Ocean.depth.layer,High.quality.read.sequences.Gbp.Reads1,ec_number,FL_PA,sample_know_clu,sample_all_clu,clu_proportion,sample_know_member,sample_all_member,memper_proportion,new_clu,new_clu_pro,temperature_zones,family_unknow_clu_count,family_unknow_pro,cog_meta_clu_count,cog_meta_clu_pro,family_unknow_member_count,family_unknow_member_pro,cog_meta_member_count,cog_meta_member_pro,cog_meta_new_member_count,cog_meta_new_clu_count,cog_meta_new_clu_pro_4w,cog_meta_new_member_pro_4w
345,SRR5002397,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,4.5,34.28,26.5,770,Mesopelagic,1.57,2414,-,8399,46377,0.181102702,81221,263637,0.308078912,37978,81.88972982,Torrid_Zone,6256,13.4894452,19464,41.9690795,19368,7.346465026,136191,51.65853048,86758,14844,76.26387176,63.70318156
346,SRR5002400,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,20.09,35.23,204.8,200,Epipelagic,1.58,2082,-,6172,25260,0.244338876,26937,76594,0.351685511,19088,75.56611243,Torrid_Zone,1512,5.985748219,12481,49.4101346,2234,2.916677547,44400,57.96798705,27788,9059,72.58232513,62.58558559
347,SRR5002402,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,26.04,35.29,207.2,25,Epipelagic,1.02,1906,-,6541,25846,0.253075911,35695,97183,0.367296749,19305,74.69240888,Torrid_Zone,2568,9.935773427,11818,45.72467693,5292,5.445396829,50584,52.0502557,28925,8164,69.08106279,57.18211292
348,SRR5002403,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,21.84,35.29,203.7,125,Epipelagic,1.15,2491,-,8758,45480,0.192568162,77352,220220,0.351248751,36722,80.74318382,Torrid_Zone,5008,11.0114336,19278,42.3878628,11267,5.116247389,117625,53.41249659,70868,14541,75.42794896,60.24909671
349,SRR5002404,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,16.48,34.69,202.5,200,Epipelagic,1.02,2499,-,10388,60073,0.172922944,233972,653910,0.357804591,49685,82.70770562,Torrid_Zone,6760,11.25297555,25531,42.49995838,20321,3.107614198,365600,55.90983469,224686,19968,78.21080255,61.45678337
350,SRR5002405,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,23.77,35.24,212,75,Epipelagic,1.02,2170,-,7875,32710,0.240752064,59136,155519,0.380249359,24835,75.92479364,Torrid_Zone,2743,8.385814736,14897,45.54264751,5783,3.718516709,83308,53.56773127,47742,10550,70.81962811,57.30782158
351,SRR5002406,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,25.62,35.24,208.9,25,Epipelagic,1.42,1892,-,6985,27467,0.254305166,48775,126663,0.385076936,20482,74.56948338,Torrid_Zone,2577,9.382167692,12662,46.09895511,5145,4.061959688,67296,53.12995903,38197,8830,69.73621861,56.75968854
352,SRR5002408,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,3.96,34.47,42.3,1000,Mesopelagic,1.02,2262,-,7627,34238,0.22276418,49980,146148,0.3419821,26611,77.72358198,Torrid_Zone,2394,6.992230855,16166,47.21654302,4573,3.129019898,81811,55.9781865,51450,11950,73.92057404,62.88885358
353,SRR5002410,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,25.35,35.21,209.7,45,Epipelagic,1.64,1904,-,6964,26483,0.262961145,50707,127421,0.397948533,19519,73.70388551,Torrid_Zone,2031,7.669070725,12457,47.03772231,3738,2.933582377,69627,54.64326916,39407,8618,69.18198603,56.59729703
354,SRR5002412,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,23.55,35.2,212.9,125,Epipelagic,1.18,2196,-,7902,34126,0.231553654,66681,173682,0.383925795,26224,76.84463459,Torrid_Zone,2955,8.659086913,15594,45.69536424,5978,3.441922594,95123,54.76848493,55440,11280,72.33551366,58.28243432
