,sample,Longitude.Degrees.East,Latitude.Degrees.North,Longhurst.Province,Ocean,Ocean.and.sea.regions,Temp,Salinity,Dissolved.oxygen,depth,Ocean.depth.layer,High.quality.read.sequences.Gbp.Reads1,ec_number,FL_PA,sample_know_clu,sample_all_clu,clu_proportion,sample_know_member,sample_all_member,memper_proportion,new_clu,new_clu_pro,temperature_zones,family_unknow_clu_count,family_unknow_pro,cog_meta_clu_count,cog_meta_clu_pro,family_unknow_member_count,family_unknow_member_pro,cog_meta_member_count,cog_meta_member_pro,cog_meta_new_member_count,cog_meta_new_clu_count,cog_meta_new_clu_pro_4w,cog_meta_new_member_pro_4w
335,SRR5002380,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,3.97,34.47,45.3,1000,Mesopelagic,1.18,2168,-,6630,28676,0.231203794,38939,110537,0.352271185,22046,76.87962059,Torrid_Zone,1956,6.821035012,13549,47.24857023,3410,3.084939884,61324,55.47825615,38033,9892,73.00907816,62.01976388
336,SRR5002381,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,25.09,35.24,207,45,Epipelagic,1.45,2046,-,7556,31515,0.239758845,57737,152616,0.378315511,23959,76.0241155,Torrid_Zone,3071,9.74456608,14246,45.20387117,7071,4.633197044,80657,52.84963569,45948,10076,70.72862558,56.96715722
337,SRR5002383,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,17.34,34.79,191.93,200,Epipelagic,1.05,2280,-,8103,40003,0.202559808,65026,194036,0.335123379,31900,79.7440192,Torrid_Zone,4138,10.34422418,18082,45.20160988,8615,4.439897751,108041,55.68090457,68267,13659,75.53921026,63.18619783
338,SRR5002384,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,16.92,34.71,198.3,200,Epipelagic,0.91,2207,-,7976,37628,0.21196981,67756,195305,0.346924042,29652,78.80301903,Torrid_Zone,3035,8.065802062,17858,47.45933879,6042,3.093622795,110777,56.72000205,69506,13504,75.6187703,62.74407142
339,SRR5002385,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,7.71,34.12,98.4,500,Mesopelagic,1.14,2242,-,7794,36319,0.21459842,66084,187071,0.35325625,28525,78.54015804,Torrid_Zone,3031,8.345494094,16837,46.35865525,6070,3.244757338,104511,55.86702375,64786,12586,74.75203421,61.98964702
340,SRR5002387,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,23.49,35.19,211.3,125,Epipelagic,1.25,2060,-,7510,31006,0.242211185,60635,158393,0.382813634,23496,75.77888151,Torrid_Zone,2805,9.046636135,14373,46.35554409,6043,3.815193853,86614,54.6829721,50288,10246,71.28643985,58.05989794
341,SRR5002389,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,3.87,34.49,48.4,1000,Mesopelagic,1.32,2064,-,5607,22377,0.250569781,21009,61495,0.341637532,16770,74.94302185,Torrid_Zone,1345,6.010635921,10848,48.4783483,2139,3.478331572,34194,55.60452069,21305,7699,70.97160767,62.30625256
342,SRR5002390,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,4.85,34.34,37.3,770,Mesopelagic,1.31,1872,-,5050,19387,0.260483829,22171,63606,0.348567745,14337,73.95161706,Torrid_Zone,841,4.337958426,10077,51.97812967,1413,2.221488539,37020,58.20205641,23499,7265,72.0948695,63.47649919
343,SRR5002394,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,4.29,34.48,39.3,1000,Mesopelagic,1.15,2251,-,7143,33703,0.21193959,45633,137714,0.331360646,26560,78.80604101,Torrid_Zone,3090,9.168323295,15404,45.70513011,6125,4.447623335,75355,54.71847452,47554,11461,74.40275253,63.10662862
344,SRR5002395,-158.8,22.45,NPTG,NPacific,NPTG Trades - N. Pacific Tropical Gyre Province,20.07,35.23,203.1,200,Epipelagic,1.11,2025,-,6203,24898,0.249136477,27184,76869,0.353640609,18695,75.08635232,Torrid_Zone,1346,5.406056711,12648,50.79926098,2072,2.695494933,45100,58.67124589,28300,9213,72.84155598,62.74944568
